DateTime,Entries,UniqueIPs
1518938650,72931,9332246
1518938853,72930,9332246
1518939571,72910,9332227
1518940293,72907,9332223
1518940819,72897,9332213
1518941252,72900,9332216
1518941972,72898,9332215
1518942741,72885,9332200
1518943652,72888,9332203
1518944670,72881,9332195
1518945332,72879,9332193
1518946053,72883,9332197
1518946822,72885,9332199
1518948213,72875,9332190
1518948740,72877,9332192
1518949172,72885,9332200
1518949892,72888,9332203
1518950663,72888,9332203
1518951624,72885,9332201
1518952592,72887,9332203
1518953493,72883,9332199
1518954504,72889,9332203
1518955893,72883,9332197
1518956451,72887,9332201
1518956851,72896,9332210
1518957573,72903,9332217
1518958336,72908,9332222
1518959013,72888,9332200
1518959972,72899,9332211
1518960496,72904,9332217
1518960933,72905,9332218
1518961892,72910,9332223
1518962416,72900,9332213
1518962995,72900,9332213
1518963812,72906,9332220
1518964585,72912,9332227
1518965732,72919,9332234
1518966509,72917,9332231
1518967173,72912,9332226
1518967892,72909,9332223
1518968415,72914,9332228
1518968853,72913,9332228
1518969573,72908,9332223
1518970353,72917,9332231
1518971013,72919,9332234
1518971972,72918,9332232
1518972499,72924,9332238
1518972933,72932,9332247
1518973654,72928,9332243
1518974372,72932,9332247
1518975092,72938,9332253
1518975813,72936,9332252
1518976341,72928,9332244
1518976773,72931,9332247
1518977493,72928,9332245
1518978262,72944,9332261
1518978931,72942,9332259
1518979653,72945,9332262
1518980178,72947,9332264
1518980373,72953,9332270
1518981145,72952,9332274
1518981813,72950,9332272
1518982090,72961,9332283
1518982532,72962,9332284
1518983253,72963,9332285
1518984269,72967,9332290
1518984932,72966,9332289
1518985892,72965,9332288
1518986413,72959,9332282
1518986851,72959,9332277
1518987813,72960,9332278
1518988344,72964,9332281
1518988773,72963,9332278
1518989492,72969,9332284
1518990262,72974,9332290
1518991172,72971,9332285
1518992192,72989,9332580
1518992853,72985,9332576
1518993573,72986,9332577
1518994094,72989,9332580
1518994532,72986,9332576
1518996587,72988,9332579
1518997172,72982,9332573
1518998132,72977,9332567
1518998669,72979,9332569
1518999093,72979,9332565
1519000053,72979,9332565
1519000587,72979,9332566
1519001012,72978,9332565
1519001972,72969,9332556
1519002504,72954,9332541
1519002933,72945,9332532
1519003892,72942,9332529
1519004414,72946,9332533
1519004853,72965,9332552
1519005812,72968,9332554
1519006341,72965,9332551
1519006772,72969,9332556
1519007732,72973,9332560
1519008255,72972,9332559
1519008452,72969,9332556
1519009172,72975,9332562
1519009893,72983,9332569
1519010176,72988,9332574
1519010612,72989,9332575
1519011128,72990,9332574
1519011573,72993,9332579
1519012091,72986,9332572
1519012534,72983,9332570
1519013493,72989,9332576
1519014015,72994,9332579
1519014457,73000,9332585
1519015412,73003,9332588
1519015936,73016,9332601
1519016432,73025,9332610
1519017333,73029,9332615
1519017858,73038,9332624
1519018291,73037,9332623
1519019252,73027,9332612
1519019770,73030,9332614
1519020213,73040,9332625
1519021173,73043,9332628
1519021695,73040,9332625
1519022131,73058,9332642
1519023093,73067,9332652
1519023618,73074,9332659
1519024053,73070,9332656
1519024773,73076,9332662
1519025541,73067,9332653
1519026014,73071,9332657
1519026213,73079,9332665
1519026932,73078,9332664
1519027459,73064,9332650
1519027892,73065,9332651
1519028852,73072,9332658
1519029380,73073,9332658
1519029813,73068,9332653
1519030773,73076,9332661
1519031300,73080,9332665
1519031733,73095,9332680
1519032693,73107,9332692
1519033412,73121,9332706
1519034132,73128,9332713
1519034852,73130,9332715
1519035382,73130,9332715
1519035812,73142,9332727
1519036331,73143,9332728
1519036533,73150,9332735
1519037296,73162,9332747
1519037973,73172,9332757
1519038932,73186,9332771
1519039209,73186,9332771
1519039892,73197,9332782
1519040656,73200,9332784
1519041132,73201,9332784
1519041334,73222,9332805
1519042292,73239,9332822
1519043303,73260,9332843
1519044212,73251,9332834
1519045225,73257,9332838
1519046373,73257,9332838
1519047389,73246,9332824
1519048292,73267,9332845
1519049307,73270,9332848
1519050359,73281,9332860
1519051223,73287,9332865
1519052133,73291,9332869
1519052853,73298,9332876
1519053137,73312,9332890
1519053571,73326,9332904
1519054292,73325,9332903
1519055065,73327,9332905
1519055535,73331,9332908
1519055973,73346,9332923
1519056994,73351,9332928
1519058133,73354,9332932
1519059143,73352,9332928
1519060052,73346,9332921
1519060773,73351,9332926
1519061056,73359,9332934
1519061733,73361,9332935
1519062453,73383,9332957
1519062968,73367,9332941
1519063173,73368,9332942
1519063893,73377,9332950
1519064612,73379,9332952
1519065134,73372,9332946
1519065332,73378,9332953
1519066052,73389,9332964
1519067076,73386,9332962
1519067972,73390,9332963
1519068692,73405,9332978
1519068971,73404,9332977
1519069413,73412,9332985
1519070173,73419,9332991
1519070910,73427,9333000
1519071812,73430,9333004
1519072533,73426,9333000
1519073058,73436,9333011
1519074693,73461,9333036
1519075470,73479,9333056
1519076372,73489,9333067
1519077379,73500,9333077
1519078773,73526,9332817
1519079297,73542,9332833
1519079492,73554,9332844
1519080024,73555,9332845
1519080452,73551,9332841
1519081470,73556,9332847
1519082372,73573,9332864
1519083308,73568,9332859
1519083813,73584,9332876
1519084833,73593,9332885
1519085293,73593,9332885
1519085732,73593,9332885
1519086451,73610,9332902
1519087216,73606,9332898
1519087893,73617,9332909
1519088853,73618,9332910
1519089129,73615,9332907
1519089572,73620,9332911
1519090293,73623,9332914
1519091060,73612,9332903
1519091733,73619,9332910
1519092693,73616,9332907
1519092968,73615,9332906
1519093413,73612,9332902
1519094132,73614,9332906
1519094895,73620,9332912
1519095573,73621,9332913
1519096533,73618,9332910
1519097057,73624,9332916
1519097493,73629,9332919
1519098213,73634,9332923
1519098976,73627,9332916
1519099707,73636,9332925
1519100613,73630,9332919
1519101332,73628,9332917
1519102053,73625,9332914
1519102822,73600,9332891
1519103492,73599,9332890
1519104212,73604,9332895
1519104733,73604,9332895
1519104934,73599,9332890
1519105893,73604,9332895
1519106659,73594,9332884
1519107332,73596,9332886
1519108293,73584,9332874
1519108569,73585,9332875
1519109013,73578,9332867
1519109733,73586,9332874
1519110496,73579,9332867
1519111173,73575,9332862
1519111893,73586,9332873
1519112407,73586,9332873
1519112613,73581,9332869
1519113573,73581,9332869
1519114341,73583,9332871
1519115013,73584,9332875
1519115973,73586,9332877
1519116252,73589,9332879
1519116693,73587,9332877
1519117412,73579,9332869
1519118181,73568,9332858
1519118853,73566,9332856
1519119573,73561,9332851
1519120086,73564,9332855
1519120293,73560,9332851
1519121012,73568,9332859
1519121733,73574,9332866
1519122005,73569,9332861
1519122692,73551,9332843
1519123413,73547,9332839
1519123690,73548,9332840
1519123930,73552,9332844
1519124132,73552,9332844
1519125093,73546,9332838
1519125900,73534,9332826
