DateTime,Entries,UniqueIPs
1518916594,9365,9365
1518917792,9352,9352
1518918750,9337,9337
1518919714,9339,9339
1518920413,9334,9334
1518921386,9325,9325
1518922099,9328,9328
1518922831,9328,9328
1518923799,9329,9329
1518924747,9323,9323
1518925466,9342,9342
1518926180,9328,9328
1518926919,9328,9328
1518927869,9342,9342
1518928825,9310,9310
1518929787,9323,9323
1518930753,9327,9327
1518931709,9329,9329
1518932419,9330,9330
1518933144,9329,9329
1518933860,9317,9317
1518934593,9305,9305
1518935796,9327,9327
1518936751,9328,9328
1518937472,9329,9329
1518938182,9346,9346
1518938903,9340,9340
1518939622,9333,9333
1518940343,9344,9344
1518941311,9345,9345
1518942016,9348,9348
1518942745,9344,9344
1518943712,9351,9351
1518944674,9358,9358
1518945394,9361,9361
1518946097,9346,9346
1518946826,9360,9360
1518948285,9369,9369
1518949221,9373,9373
1518949941,9363,9363
1518950667,9346,9346
1518951629,9358,9358
1518952597,9361,9361
1518953548,9370,9370
1518954508,9356,9356
1518955482,9376,9376
1518956455,9366,9366
1518957130,9365,9365
1518957855,9372,9372
1518958817,9378,9378
1518959544,9375,9375
1518960500,9413,9413
1518961455,9406,9406
1518962421,9405,9405
1518963383,9406,9406
1518964088,9408,9408
1518965059,9401,9401
1518965793,9416,9416
1518966513,9429,9429
1518967214,9430,9430
1518967945,9428,9428
1518968907,9427,9427
1518969631,9431,9431
1518970357,9423,9423
1518971066,9440,9440
1518972023,9433,9433
1518972983,9429,9429
1518973697,9427,9427
1518974430,9412,9412
1518975140,9429,9429
1518975866,9425,9425
1518976830,9436,9436
1518977542,9434,9434
1518978267,9459,9459
1518978994,9473,9473
1518979703,9434,9434
1518980424,9459,9459
1518981156,9428,9428
1518981858,9420,9420
1518982581,9434,9434
1518983302,9431,9431
1518984273,9435,9435
1518984993,9426,9426
1518985952,9402,9402
1518986917,9407,9407
1518987870,9391,9391
1518988828,9380,9380
1518989538,9368,9368
1518990266,9384,9384
1518991234,9384,9384
1518992196,9387,9387
1518992896,9386,9386
1518993620,9381,9381
1518994592,9380,9380
1518996591,9346,9346
1518997271,9346,9346
1518998186,9353,9353
1518999154,9346,9346
1519000104,9342,9342
1519001071,9378,9378
1519002025,9364,9364
1519002995,9380,9380
1519003949,9367,9367
1519004912,9346,9346
1519005872,9356,9356
1519006828,9344,9344
1519007789,9346,9346
1519008501,9368,9368
1519009223,9374,9374
1519009939,9375,9375
1519010666,9372,9372
1519011628,9361,9361
1519012676,9346,9346
1519013552,9369,9369
1519014512,9362,9362
1519015472,9361,9361
1519016445,9351,9351
1519017389,9355,9355
1519018350,9379,9379
1519019306,9354,9354
1519020278,9332,9332
1519021226,9370,9370
1519022190,9357,9357
1519023149,9366,9366
1519024114,9353,9353
1519024814,9359,9359
1519025546,9343,9343
1519026260,9367,9367
1519026991,9358,9358
1519027956,9362,9362
1519028902,9397,9397
1519029869,9400,9400
1519030831,9391,9391
1519031794,9393,9393
1519032748,9409,9409
1519033457,9409,9409
1519034179,9394,9394
1519034916,9406,9406
1519035868,9407,9407
1519036576,9415,9415
1519037301,9399,9399
1519038022,9403,9403
1519038993,9417,9417
1519039949,9421,9421
1519040659,9415,9415
1519041377,9421,9421
1519042450,9421,9421
1519043307,9435,9435
1519044267,9403,9403
1519045230,9408,9408
1519046430,9403,9403
1519047395,9398,9398
1519048345,9404,9404
1519049311,9424,9424
1519050344,9414,9414
1519051227,9420,9420
1519052184,9407,9407
1519052896,9414,9414
1519053625,9428,9428
1519054338,9396,9396
1519055069,9433,9433
1519056030,9418,9418
1519056998,9434,9434
1519058195,9470,9470
1519059148,9448,9448
1519060111,9473,9473
1519060818,9482,9482
1519061798,9491,9491
1519062505,9487,9487
1519063224,9490,9490
1519063945,9483,9483
1519064671,9486,9486
1519065377,9532,9532
1519066103,9535,9535
1519067081,9554,9554
1519068027,9557,9557
1519068742,9546,9546
1519069471,9561,9561
1519070176,9568,9568
1519070915,9573,9573
1519071870,9567,9567
1519072579,9573,9573
1519074765,9570,9570
1519075474,9549,9549
1519076423,9548,9548
1519077383,9544,9544
1519078852,9550,9550
1519079542,9546,9546
1519080509,9532,9532
1519081474,9504,9504
1519082428,9519,9519
1519083313,9502,9502
1519084337,9503,9503
1519085056,9474,9474
1519085797,9488,9488
1519086510,9477,9477
1519087220,9482,9482
1519087951,9484,9484
1519088915,9491,9491
1519089615,9486,9486
1519090344,9470,9470
1519091064,9463,9463
1519091780,9471,9471
1519092748,9483,9483
1519093458,9471,9471
1519094181,9464,9464
1519094899,9459,9459
1519095628,9457,9457
1519096599,9440,9440
1519097547,9450,9450
1519098275,9467,9467
1519098980,9465,9465
1519099717,9449,9449
1519100667,9455,9455
1519101377,9455,9455
1519102106,9465,9465
1519102827,9466,9466
1519103557,9458,9458
1519104258,9453,9453
1519104981,9446,9446
1519105955,9391,9391
1519106663,9446,9446
1519107393,9448,9448
1519108349,9439,9439
1519109061,9444,9444
1519109792,9453,9453
1519110500,9457,9457
1519111241,9445,9445
1519111938,9447,9447
1519112661,9454,9454
1519113635,9439,9439
1519114345,9450,9450
1519115064,9422,9422
1519116025,9451,9451
1519116737,9421,9421
1519117468,9442,9442
1519118186,9448,9448
1519118904,9452,9452
1519119616,9436,9436
1519120338,9444,9444
1519121064,9444,9444
1519121793,9446,9446
1519122745,9472,9472
1519123457,9454,9454
1519124178,9465,9465
1519125151,9456,9456
1519125905,9480,9480
